time;status;gx;gy;gz;ax;ay;az
2022-12-08T07:35:58.708;77;0.00005425;0.00011936;0.00016276;0.03997803;-0.03158569;9.84558105
2022-12-08T07:35:58.718;77;0.00006510;-0.00007595;0.00008681;0.03143311;-0.05157471;9.83779907
2022-12-08T07:37:27.938;77;-0.00017361;-0.00004340;0.00033637;0.03829956;-0.02700806;9.84146118
2022-12-08T07:37:27.948;77;0.00007595;-0.00007595;0.00032552;0.03799438;-0.04638672;9.83627319
2022-12-08T07:37:27.958;77;0.00016276;-0.00002170;0.00017361;0.04913330;-0.03417969;9.83978271
2022-12-08T07:37:27.968;77;0.00007595;-0.00004340;0.00019531;0.04058838;-0.03570557;9.84405518
2022-12-08T07:37:27.978;77;0.00016276;0.00009766;0.00011936;0.04318237;-0.04714966;9.83917236
2022-12-08T07:37:27.988;77;-0.00002170;-0.00009766;0.00007595;0.04241943;-0.03952026;9.82971191
2022-12-08T07:37:27.998;77;0.00005425;-0.00004340;0.00015191;0.04516602;-0.04714966;9.83947754
2022-12-08T07:37:28.008;77;0.00001085;0.00007595;0.00006510;0.04165649;-0.04791260;9.83444214
2022-12-08T07:37:28.018;77;0.00005425;0.00003255;0.00005425;0.03952026;-0.04211426;9.82788086
2022-12-08T07:37:28.028;77;-0.00001085;0.00004340;0.00014106;0.04211426;-0.04531860;9.83703613
2022-12-08T07:37:28.038;77;0.00005425;-0.00007595;0.00001085;0.05020142;-0.04119873;9.82238770
2022-12-08T07:37:28.048;77;0.00002170;0.00009766;0.00017361;0.03280640;-0.05096436;9.83200073
2022-12-08T07:37:28.058;77;0.00008681;0.00016276;0.00008681;0.04150391;-0.05050659;9.84878540
2022-12-08T07:37:28.068;77;0.00028212;-0.00011936;0.00000000;0.04623413;-0.03524780;9.83642578
2022-12-08T07:37:28.078;77;0.00006510;-0.00001085;0.00018446;0.02471924;-0.03814697;9.83978271
2022-12-08T07:37:28.088;77;0.00010851;0.00004340;0.00020616;0.04074097;-0.03875732;9.85137939
2022-12-08T07:37:28.098;77;0.00006510;0.00005425;-0.00008681;0.03250122;-0.04211426;9.84161377
2022-12-08T07:37:28.108;77;0.00013021;0.00009766;0.00026042;0.04287720;-0.04241943;9.83673096
2022-12-08T07:37:28.118;77;-0.00002170;0.00007595;-0.00007595;0.02532959;-0.05096436;9.83886719
2022-12-08T07:37:28.128;77;-0.00002170;0.00002170;0.00022786;0.02746582;-0.04974365;9.83184814
2022-12-08T07:37:28.138;77;0.00004340;-0.00009766;0.00005425;0.03112793;-0.04272461;9.84527588
2022-12-08T07:37:28.148;77;-0.00005425;0.00001085;0.00004340;0.03280640;-0.04043579;9.84909058
2022-12-08T07:37:28.158;77;-0.00009766;0.00009766;0.00009766;0.04455566;-0.04013062;9.83749390
2022-12-08T07:37:28.168;77;0.00008681;-0.00006510;-0.00002170;0.03265381;-0.04241943;9.83856201
2022-12-08T07:37:28.178;77;0.00004340;0.00016276;0.00017361;0.04562378;-0.02990723;9.84420776
2022-12-08T07:37:28.188;77;-0.00007595;0.00002170;0.00008681;0.04043579;-0.02090454;9.84024048
2022-12-08T07:37:28.198;77;-0.00001085;0.00020616;0.00005425;0.03814697;-0.04013062;9.83016968
2022-12-08T07:37:28.208;77;0.00015191;0.00007595;0.00006510;0.03402710;-0.04531860;9.82864380
2022-12-08T07:37:28.218;77;0.00004340;0.00005425;0.00004340;0.04928589;-0.03356934;9.85321045
2022-12-08T07:37:28.228;77;0.00000000;0.00000000;0.00023872;0.03982544;-0.04501343;9.85137939
2022-12-08T07:37:28.238;77;0.00001085;0.00011936;0.00004340;0.03494263;-0.04669189;9.83230591
2022-12-08T07:37:28.248;77;-0.00010851;-0.00009766;0.00022786;0.03143311;-0.03494263;9.83657837
2022-12-08T07:37:28.258;77;-0.00003255;-0.00003255;0.00024957;0.04470825;-0.04867554;9.83245850
2022-12-08T07:37:28.268;77;0.00000000;0.00003255;0.00001085;0.04089355;-0.03280640;9.84329224
2022-12-08T07:37:28.278;77;0.00016276;0.00021701;0.00014106;0.03540039;-0.05279541;9.83413696
2022-12-08T07:37:28.288;77;-0.00003255;0.00000000;0.00005425;0.04440308;-0.03295898;9.83535767
2022-12-08T07:37:28.298;77;0.00003255;0.00011936;0.00026042;0.03524780;-0.03265381;9.84786987
2022-12-08T07:37:28.308;77;0.00013021;0.00000000;0.00024957;0.02136230;-0.03631592;9.84924316
2022-12-08T07:37:28.318;77;0.00002170;0.00013021;0.00018446;0.03768921;-0.02517700;9.83200073
2022-12-08T07:37:28.328;77;0.00006510;-0.00005425;0.00014106;0.03631592;-0.03372192;9.84359741
2022-12-08T07:37:28.338;77;0.00017361;-0.00004340;0.00007595;0.03173828;-0.05401611;9.84924316
2022-12-08T07:37:28.348;77;0.00005425;-0.00003255;0.00026042;0.03982544;-0.03738403;9.83413696
2022-12-08T07:37:28.358;77;-0.00001085;0.00004340;0.00006510;0.04470825;-0.03356934;9.84161377
2022-12-08T07:37:28.368;77;0.00017361;0.00006510;0.00011936;0.02838135;-0.03387451;9.83673096
2022-12-08T07:37:28.378;77;0.00017361;0.00002170;0.00009766;0.03356934;-0.03997803;9.83108521
2022-12-08T07:37:28.388;77;0.00019531;-0.00003255;0.00030382;0.04257202;-0.05264282;9.83245850
2022-12-08T07:37:28.398;77;0.00010851;0.00013021;0.00013021;0.03997803;-0.05310059;9.83871460
2022-12-08T07:37:28.408;77;-0.00001085;0.00015191;0.00034722;0.04058838;-0.03860474;9.83581543
2022-12-08T07:37:28.418;77;0.00014106;0.00008681;0.00014106;0.03570557;-0.02777100;9.83215332
2022-12-08T07:37:28.428;77;-0.00003255;0.00016276;0.00024957;0.03189087;-0.03845215;9.82910156
2022-12-08T07:37:28.438;77;0.00007595;-0.00002170;0.00028212;0.03112793;-0.03494263;9.83688354
2022-12-08T07:37:28.448;77;0.00005425;0.00008681;0.00013021;0.02639771;-0.03616333;9.84664917
2022-12-08T07:37:28.458;77;0.00018446;0.00010851;0.00013021;0.03875732;-0.04821777;9.83749390
2022-12-08T07:37:28.468;77;0.00006510;-0.00002170;0.00005425;0.04760742;-0.04226685;9.84054565
2022-12-08T07:37:28.478;77;0.00014106;0.00018446;0.00022786;0.03051758;-0.03906250;9.84237671
2022-12-08T07:37:28.488;77;-0.00010851;0.00000000;0.00023872;0.04074097;-0.05599976;9.83459473
2022-12-08T07:37:28.498;77;0.00000000;0.00000000;0.00016276;0.04486084;-0.03646851;9.85473633
2022-12-08T07:37:28.508;77;0.00006510;0.00004340;0.00033637;0.04074097;-0.04791260;9.84924316
2022-12-08T07:37:28.518;77;0.00004340;0.00016276;0.00007595;0.05020142;-0.04776001;9.84191895
2022-12-08T07:37:28.528;77;0.00003255;0.00019531;0.00005425;0.03753662;-0.02548218;9.84329224
2022-12-08T07:37:28.538;77;0.00019531;-0.00006510;0.00037977;0.04287720;-0.05523682;9.83871460
2022-12-08T07:37:28.548;77;-0.00001085;-0.00004340;0.00002170;0.03829956;-0.04974365;9.84207153
2022-12-08T07:37:28.558;77;-0.00002170;0.00005425;0.00041233;0.03067017;-0.03799438;9.83398438
2022-12-08T07:37:28.568;77;-0.00009766;0.00007595;0.00022786;0.02960205;-0.03189087;9.83978271
2022-12-08T07:37:28.578;77;-0.00019531;0.00016276;0.00023872;0.03921509;-0.04913330;9.84115601
2022-12-08T07:37:28.588;77;0.00002170;0.00011936;0.00016276;0.05279541;-0.03494263;9.83474731
2022-12-08T07:37:28.598;77;-0.00005425;0.00015191;0.00019531;0.04119873;-0.03921509;9.84756470
2022-12-08T07:37:28.608;77;0.00009766;0.00011936;0.00014106;0.03265381;-0.04119873;9.84191895
2022-12-08T07:37:28.618;77;0.00004340;0.00011936;0.00008681;0.03173828;-0.02502441;9.84466553
2022-12-08T07:37:28.628;77;0.00006510;0.00003255;0.00016276;0.04272461;-0.03189087;9.84863281
